copyright	zengfr	site:http://github.com/zengfr/romhack
000003	[66]
0A127A	[8000]
0A127C	[0]
0A127E	[603]
0A127F	[3]
0A1280	[2F]
0A1282	[0]
0A1284	[1814]
0A1286	[8000]
0A1288	[0]
0A128A	[604]
0A128B	[4]
0A128C	[0]
0A128E	[0]
0A1290	[1818]
0A1292	[8000]
0A1294	[0]
0A1296	[604]
0A1297	[4]
0A1298	[0]
0A129A	[0]
0A129C	[181C]
0A129E	[8000]
0A12A0	[0]
0A12A2	[604]
0A12A3	[4]
0A12A4	[0]
0A12A6	[0]
0A12A8	[1820]
0A12AA	[8000]
0A12AC	[0]
0A12AE	[603]
0A12AF	[3]
0A12B0	[33]
0A12B2	[0]
0A12B4	[1824]
0A12B6	[8000]
0A12B8	[0]
0A12BA	[603]
0A12BB	[3]
0A12BC	[0]
0A12BE	[0]
0A12C0	[1828]
0A12C2	[8000]
0A12C4	[0]
0A12C6	[603]
0A12C7	[3]
0A12C8	[35]
0A12CA	[0]
0A12CC	[182C]
0A12CE	[8000]
0A12D0	[0]
0A12D2	[683]
0A12D3	[83]
0A12D4	[36]
0A12D6	[0]
0A12D8	[F416]
0A131A	[17C0]
0A131C	[8000]
0A131E	[0]
0A1320	[5]
0A1321	[5]
0A1322	[C00]
0A1324	[0]
0A1326	[17C4]
0A1328	[8000]
0A132A	[0]
0A132C	[40E]
0A132D	[E]
0A132E	[4324]
0A1330	[2100]
0A1332	[17B8]
0A1334	[8000]
0A1336	[0]
0A1338	[C6]
0A133A	[B00]
0A133C	[0]
0A1340	[17C8]
0A1342	[8000]
0A1344	[0]
0A1346	[405]
0A1347	[5]
0A1348	[D28]
0A134A	[5000]
0A134C	[17C8]
0A134E	[8000]
0A1350	[100]
0A1352	[40F]
0A1353	[F]
0A1354	[D28]
0A1356	[5000]
0A1358	[17C8]
0A135A	[8000]
0A135C	[200]
0A135E	[4C6]
0A1360	[D28]
0A1362	[5000]
0A1366	[17C0]
0A1368	[8000]
0A136A	[0]
0A136C	[2]
0A136D	[2]
0A136E	[C00]
0A1370	[0]
0A1372	[17C4]
0A1374	[8000]
0A1376	[0]
0A1378	[4C6]
0A137A	[4327]
0A137C	[2100]
0A26FC	[A]
0A26FE	[270C]
0A2700	[A]
0A2702	[28EC]
0A2704	[A]
0A2706	[2ADC]
0A270C	[A]
0A270D	[1]
0A270E	[0]
0A270F	[9]
0A2710	[3]
0A2711	[14]
0A2712	[0]
0A2713	[0]
0A2714	[F]
0A2715	[3]
0A2716	[2]
0A2717	[9]
0A2718	[6]
0A2719	[18]
0A271A	[0]
0A271B	[0]
0A271C	[1D]
0A271D	[B]
0A271E	[6]
0A271F	[D]
0A2720	[9]
0A2721	[20]
0A2722	[18]
0A2723	[0]
0A273C	[8]
0A273D	[A]
0A273E	[10]
0A273F	[6]
0A2740	[3]
0A2741	[14]
0A2742	[0]
0A2743	[0]
0A274C	[F]
0A274D	[6]
0A274E	[2]
0A274F	[A]
0A2750	[3]
0A2751	[14]
0A2752	[18]
0A2753	[0]
0A2754	[14]
0A2755	[B]
0A2756	[4]
0A2757	[7]
0A2758	[9]
0A2759	[20]
0A275A	[0]
0A275B	[0]
0A28EC	[A]
0A28ED	[1]
0A28EE	[0]
0A28EF	[9]
0A28F0	[3]
0A28F1	[14]
0A28F2	[0]
0A28F3	[0]
0A28F4	[F]
0A28F5	[3]
0A28F6	[2]
0A28F7	[7]
0A28F8	[6]
0A28F9	[18]
0A28FA	[0]
0A28FB	[0]
0A292C	[F]
0A292D	[6]
0A292E	[0]
0A292F	[A]
0A2930	[3]
0A2931	[14]
0A2932	[0]
0A2933	[0]
0A2934	[14]
0A2935	[1]
0A2936	[4]
0A2937	[3]
0A2938	[9]
0A2939	[20]
0A293A	[0]
0A293B	[1]
0A293C	[C]
0A293D	[5]
0A293E	[14]
0A293F	[6]
0A2940	[9]
0A2941	[18]
0A2942	[0]
0A2943	[0]
0A29AC	[19]
0A29AD	[B]
0A29AE	[4]
0A29AF	[A]
0A29B0	[9]
0A29B1	[20]
0A29B2	[0]
0A29B3	[0]
0A2A54	[14]
0A2A55	[6]
0A2A56	[14]
0A2A57	[4]
0A2A58	[9]
0A2A59	[18]
0A2A5A	[0]
0A2A5B	[0]
0A2A5C	[20]
0A2A5D	[B]
0A2A5E	[6]
0A2A5F	[4]
0A2A60	[9]
0A2A61	[14]
0A2A62	[0]
0A2A63	[0]
0A2AAC	[A]
0A2AAD	[1]
0A2AAE	[4]
0A2AAF	[5]
0A2AB0	[6]
0A2AB1	[20]
0A2AB2	[0]
0A2AB3	[0]
0A2AB4	[A]
0A2AB5	[1]
0A2AB6	[4]
0A2AB7	[6]
0A2AB8	[9]
0A2AB9	[20]
0A2ABA	[0]
0A2ABB	[0]
0A2ADC	[A]
0A2ADD	[1]
0A2ADE	[0]
0A2ADF	[8]
0A2AE0	[3]
0A2AE1	[14]
0A2AE2	[0]
0A2AE3	[0]
0A2AE4	[F]
0A2AE5	[2]
0A2AE6	[2]
0A2AE7	[8]
0A2AE8	[6]
0A2AE9	[18]
0A2AEA	[0]
0A2AEB	[0]
0A2B1C	[F]
0A2B1D	[B]
0A2B1E	[4]
0A2B1F	[A]
0A2B20	[3]
0A2B21	[14]
0A2B22	[0]
0A2B23	[0]
0A2B24	[14]
0A2B25	[B]
0A2B26	[4]
0A2B27	[5]
0A2B28	[9]
0A2B29	[14]
0A2B2A	[0]
0A2B2B	[1]
0A2B2C	[C]
0A2B2D	[5]
0A2B2E	[14]
0A2B2F	[6]
0A2B30	[9]
0A2B31	[18]
0A2B32	[0]
0A2B33	[0]
0A2C34	[28]
0A2C35	[B]
0A2C36	[C]
0A2C37	[5]
0A2C38	[F]
0A2C39	[18]
0A2C3A	[3]
0A2C3B	[0]
0A2C44	[14]
0A2C45	[6]
0A2C46	[18]
0A2C47	[4]
0A2C48	[9]
0A2C49	[18]
0A2C4A	[0]
0A2C4B	[0]
0A2C4C	[22]
0A2C4D	[B]
0A2C4E	[4]
0A2C4F	[6]
0A2C50	[9]
0A2C51	[14]
0A2C52	[0]
0A2C53	[0]
0A3224	[40]
0A3240	[0]
0A32FA	[8]
0A32FB	[30]
0A32FC	[7]
0A32FE	[8]
0A32FF	[30]
0A3300	[7]
0A3312	[8]
0A3313	[30]
0A3314	[7]
0A331A	[8]
0A331C	[7]
0A334A	[8]
0A334C	[7]
0AAC36	[FFFF]
0AAC38	[FDDD]
0AAC3A	[FBBB]
0AAC3C	[F999]
0AAC3E	[F666]
0AAC40	[F111]
0AAC42	[F000]
0AAC44	[F000]
0AAC46	[F000]
0AAC48	[F000]
0AAC4A	[F000]
0AAC4C	[F000]
0AAC4E	[F000]
0AAC50	[F000]
0AAC52	[F000]
0AAC54	[F000]
0ACBF4	[9211]
0ACBF6	[200]
0ACBF8	[4341]
0ACBFA	[4420]
0ACBFC	[1]
0ACBFE	[0]
0ACC00	[100]
0ACC02	[301]
0ACC04	[200]
0ACC06	[140]
0ACC08	[7001]
0ACC0A	[4EB9]
0ACC0C	[0]
0ACC0E	[A2A]
0ACC10	[207C]
0ACC12	[F1]
0ACC14	[8000]
0ACC16	[3C3C]
0ACC18	[FFF]
0ACC1A	[303C]
0ACC1C	[0]
0ACC1E	[6100]
0ACC20	[152]
0ACC22	[6648]
0ACC24	[207C]
0ACC26	[F1]
0ACC28	[8000]
0ACC2A	[3C3C]
0ACC2C	[FFF]
0ACC2E	[303C]
0ACC30	[5555]
0ACC32	[6100]
0ACC34	[13E]
0ACC36	[6634]
0ACC38	[207C]
0ACC3A	[F1]
0ACC3C	[8000]
0ACC3E	[3C3C]
0ACC40	[FFF]
0ACC42	[303C]
0ACC44	[AAAA]
0ACC46	[6100]
0ACC48	[12A]
0ACC4A	[6620]
0ACC4C	[207C]
0ACC4E	[F1]
0ACC50	[8000]
0ACC52	[3C3C]
0ACC54	[FFF]
0ACC56	[303C]
0ACC58	[FFFF]
0ACC5A	[6100]
0ACC5C	[116]
0ACC5E	[660C]
0ACC60	[7000]
0ACC62	[4EB9]
0ACC64	[0]
0ACC66	[A2A]
0ACC68	[7000]
0ACC6A	[4E75]
0ACC6C	[7000]
0ACC6E	[4EB9]
0ACC70	[0]
0ACC72	[A2A]
0ACD8E	[A]
0ACD90	[CD9E]
0ACD92	[A]
0ACD94	[CE54]
0ACD9E	[0]
0ACDA0	[1]
0ACDA2	[114]
0ACDA4	[0]
0ACDA6	[0]
0ACDA8	[0]
0ACDAA	[0]
0ACDAC	[0]
0ACDAE	[1]
0ACDB0	[7C]
0ACDB2	[0]
0ACDB4	[0]
0ACDB6	[0]
0ACDB8	[0]
0ACDBA	[0]
0ACDBC	[1]
0ACDBE	[50]
0ACDC0	[0]
0ACDC2	[0]
0ACDC4	[0]
0ACDC6	[0]
0ACDC8	[40]
0ACDCA	[1]
0ACDCC	[108]
0ACDCE	[0]
0ACDD0	[0]
0ACDD2	[9]
0ACDD4	[0]
0ACDD6	[100]
0ACDD8	[1]
0ACDDA	[124]
0ACDDC	[0]
0ACDDE	[0]
0ACDE0	[0]
0ACDE2	[0]
0ACDE4	[1C0]
0ACDE6	[1]
0ACDE8	[128]
0ACDEA	[0]
0ACDEC	[0]
0ACDEE	[0]
0ACDF0	[0]
0ACDF2	[2A0]
0ACDF4	[1]
0ACDF6	[108]
0ACDF8	[0]
0ACDFA	[0]
0ACDFC	[49]
0ACDFE	[0]
0ACE00	[2A0]
0ACE02	[1]
0ACE04	[108]
0ACE06	[0]
0ACE08	[0]
0ACE0A	[54]
0ACE0C	[0]
0ACE0E	[2A0]
0ACE10	[1]
0ACE12	[108]
0ACE14	[0]
0ACE16	[0]
0ACE18	[4A]
0ACE1A	[0]
0ACE1C	[390]
0ACE1E	[1]
0ACE20	[108]
0ACE22	[0]
0ACE24	[0]
0ACE26	[E]
0ACE28	[0]
0ACE2A	[3A0]
0ACE2C	[80]
0ACE2E	[8]
0ACE30	[4E1]
0ACE36	[1]
0ACE38	[460]
0ACE3A	[1]
0ACE3C	[A0]
0ACE3E	[620]
0ACE40	[130]
0ACE42	[0]
0ACE44	[0]
0ACE46	[9FFF]
0ACE54	[0]
0ACE56	[1]
0ACE58	[114]
0ACE5A	[0]
0ACE5C	[0]
0ACE5E	[0]
0ACE60	[0]
0ACE62	[0]
0ACE64	[1]
0ACE66	[7C]
0ACE68	[0]
0ACE6A	[0]
0ACE6C	[0]
0ACE6E	[0]
0ACE70	[0]
0ACE72	[1]
0ACE74	[50]
0ACE76	[0]
0ACE78	[0]
0ACE7A	[0]
0ACE7C	[0]
0ACE7E	[0]
0ACE80	[1]
0ACE82	[108]
0ACE84	[0]
0ACE86	[0]
0ACE88	[F]
0ACE8A	[0]
0ACE8C	[100]
0ACE8E	[80]
0ACE90	[8]
0ACE92	[220]
0ACE98	[7]
0ACE9A	[1E0]
0ADBF2	[A]
0ADBF4	[DC02]
0ADBF6	[A]
0ADBF8	[DD12]
0ADC02	[0]
0ADC04	[0]
0ADC06	[C4]
0ADC08	[80]
0ADC0A	[180]
0ADC0C	[0]
0ADC0E	[0]
0ADC10	[0]
0ADC11	[0]
0ADC12	[40]
0ADC14	[0]
0ADC16	[C4]
0ADC18	[1A0]
0ADC1A	[180]
0ADC1C	[0]
0ADC1E	[0]
0ADC20	[0]
0ADC21	[0]
0ADC22	[40]
0ADC24	[0]
0ADC26	[C8]
0ADC28	[80]
0ADC2A	[180]
0ADC2C	[A]
0ADC2E	[0]
0ADC30	[0]
0ADC31	[0]
0ADC32	[100]
0ADC34	[0]
0ADC36	[C8]
0ADC38	[80]
0ADC3A	[180]
0ADC3C	[C]
0ADC3E	[0]
0ADC40	[0]
0ADC41	[0]
0ADC42	[260]
0ADC44	[0]
0ADC46	[C4]
0ADC48	[3E0]
0ADC4A	[180]
0ADC4C	[2]
0ADC4E	[0]
0ADC50	[0]
0ADC51	[0]
0ADC52	[388]
0ADC54	[0]
0ADC56	[8]
0ADC58	[520]
0ADC5A	[140]
0ADC5C	[0]
0ADC5E	[0]
0ADC60	[0]
0ADC61	[0]
0ADC62	[388]
0ADC64	[40]
0ADC66	[8]
0ADC68	[540]
0ADC6A	[150]
0ADC6C	[2]
0ADC6E	[0]
0ADC70	[FF]
0ADC71	[0]
0ADC72	[388]
0ADC74	[60]
0ADC76	[8]
0ADC78	[540]
0ADC7A	[140]
0ADC7C	[202]
0ADC7E	[0]
0ADC80	[0]
0ADC81	[0]
0ADC82	[410]
0ADC84	[3]
0ADC86	[14]
0ADC88	[5A0]
0ADC8A	[150]
0ADC8C	[2]
0ADC8E	[0]
0ADC90	[0]
0ADC91	[2]
0ADC92	[420]
0ADC94	[0]
0ADC96	[8]
0ADC98	[600]
0ADC9A	[124]
0ADC9C	[2]
0ADC9E	[0]
0ADCA0	[0]
0ADCA1	[4]
0ADCA2	[420]
0ADCA4	[60]
0ADCA6	[8]
0ADCA8	[630]
0ADCAA	[128]
0ADCAC	[202]
0ADCAE	[0]
0ADCB0	[0]
0ADCB1	[4]
0ADCB2	[450]
0ADCB4	[3]
0ADCB6	[14]
0ADCB8	[5D0]
0ADCBA	[150]
0ADCBC	[2]
0ADCBE	[0]
0ADCC0	[0]
0ADCC1	[2A]
0ADCC2	[450]
0ADCC4	[43]
0ADCC6	[14]
0ADCC8	[5D4]
0ADCCA	[142]
0ADCCC	[0]
0ADCCE	[0]
0ADCD0	[0]
0ADCD1	[12]
0ADCD2	[460]
0ADCD4	[63]
0ADCD6	[14]
0ADCD8	[5F6]
0ADCDA	[142]
0ADCDC	[0]
0ADCDE	[0]
0ADCE0	[0]
0ADCE1	[4]
0ADCE2	[4C0]
0ADCE4	[0]
0ADCE6	[8]
0ADCE8	[4A0]
0ADCEA	[148]
0ADCEC	[2]
0ADCEE	[0]
0ADCF0	[0]
0ADCF1	[0]
0ADCF2	[4D0]
0ADCF4	[1]
0ADCF6	[3C]
0ADCF8	[0]
0ADCFA	[0]
0ADCFC	[0]
0ADCFE	[0]
0ADD00	[0]
0ADD01	[0]
0ADD02	[9FFF]
0ADD12	[0]
0ADD14	[1]
0ADD16	[3C]
0ADD18	[0]
0ADD1A	[0]
0ADD1C	[1]
0ADD1E	[0]
0ADD20	[0]
0ADD21	[0]
0ADD22	[0]
0ADD24	[3]
0ADD26	[14]
0ADD28	[81]
0ADD2A	[48]
0ADD2C	[A]
0ADD2E	[0]
0ADD30	[0]
0ADD31	[C]
0ADD32	[0]
0ADD34	[3]
0ADD36	[14]
0ADD38	[14B]
0ADD3A	[48]
0ADD3C	[A]
0ADD3E	[0]
0ADD40	[0]
0ADD41	[27]
0ADD42	[1]
0ADD44	[0]
0ADD46	[8]
0ADD48	[1A0]
0ADD4A	[20]
0ADD4C	[202]
0ADD4E	[0]
0ADD50	[0]
0ADD51	[27]
0ADD52	[1]
0ADD54	[60]
0ADD56	[8]
0ADD58	[1A0]
0ADD5A	[60]
0ADD5C	[200]
0ADD5E	[0]
0ADD60	[0]
0ADD61	[0]
0ADD62	[40]
0ADD64	[0]
0ADD66	[38]
0ADD68	[1E0]
0ADD6A	[48]
0ADD6C	[4]
0ADD6E	[0]
0ADD70	[0]
0ADD71	[0]
0ADD72	[C0]
0ADD74	[3]
0ADD76	[14]
0ADD78	[280]
0ADD7A	[48]
0ADD7C	[A]
0ADD7E	[0]
0ADD80	[0]
0ADD81	[1]
0ADD82	[120]
0ADD84	[0]
0ADD86	[8]
0ADD88	[2A0]
0ADD8A	[25]
0ADD8C	[0]
0ADD8E	[0]
0ADD90	[FF]
0ADD91	[19]
0ADD92	[120]
0ADD94	[0]
0ADD96	[8]
0ADD98	[2C8]
0ADD9A	[18]
0ADD9C	[204]
0ADD9E	[0]
0ADDA0	[0]
0ADDA1	[0]
0ADDA2	[120]
0ADDA4	[60]
0ADDA6	[38]
0ADDA8	[320]
0ADDAA	[44]
0ADDAC	[202]
0ADDAE	[0]
0ADDB0	[0]
0ADDB1	[0]
0ADDB2	[182]
0ADDB4	[3]
0ADDB6	[14]
0ADDB8	[342]
0ADDBA	[48]
0ADDBC	[A]
0ADDBE	[0]
0ADDC0	[0]
0ADDC1	[15]
0ADDC2	[1B0]
0ADDC4	[1]
0ADDC6	[3C]
0ADDC8	[0]
0ADDCA	[0]
0ADDCC	[2]
0ADDCE	[0]
0ADDD0	[0]
0ADDD1	[0]
0ADDD2	[220]
0ADE82	[C]
0ADE84	[4A]
0ADE86	[B8]
0ADE92	[3]
0ADE94	[20]
0ADE96	[0]
0ADE98	[8]
0ADE9A	[4C0]
0ADE9C	[12A]
0ADE9E	[202]
0ADEA0	[0]
0ADEA2	[0]
0ADEA3	[0]
0ADEA4	[0]
0ADEA6	[40]
0ADEA8	[8]
0ADEAA	[4C0]
0ADEAC	[128]
0ADEAE	[2]
0ADEB0	[0]
0ADEB2	[0]
0ADEB3	[0]
0ADEB4	[9FFF]
0ADEC8	[0]
0ADECA	[8002]
0ADED0	[63]
0ADED2	[20]
0ADED4	[0]
0ADED6	[8]
0ADED8	[190]
0ADEDA	[20]
0ADEDC	[2]
0ADEDE	[0]
0ADEE0	[0]
0ADEE1	[0]
0ADEE2	[C0]
0ADEE4	[1]
0ADEE6	[30]
0ADEE8	[0]
0ADEEA	[0]
0ADEEC	[0]
0ADEEE	[0]
0ADEF0	[0]
0ADEF1	[0]
0ADEF2	[20]
0ADEF4	[0]
0ADEF6	[50]
0ADEF8	[E8]
0ADEFA	[60]
0ADEFC	[8]
0ADEFE	[0]
0ADF00	[0]
0ADF01	[0]
0ADF02	[40]
0ADF04	[40]
0ADF06	[50]
0ADF08	[190]
0ADF0A	[40]
0ADF0C	[0]
0ADF0E	[0]
0ADF10	[0]
0ADF11	[15]
0ADF12	[A0]
0ADF14	[0]
0ADF16	[8]
0ADF18	[E8]
0ADF1A	[60]
0ADF1C	[6]
0ADF1E	[0]
0ADF20	[0]
0ADF21	[0]
0ADF22	[9FFF]
0ADF36	[6]
0ADF38	[8000]
0ADF3E	[4]
0B6521	[2]
0B6535	[30]
0B6586	[B]
0B6677	[1B]
0B6738	[8]
0B67A3	[2C]
0B69D9	[2C]
0B6A35	[D]
0B6DA8	[0]
0B6FCF	[0]
0B71F7	[6]
0B7A52	[111]
0B7A54	[FCA]
0B7A56	[D96]
0B7A58	[A64]
0B7A5A	[730]
0B7A5C	[7]
0B7A5E	[23B]
0B7A60	[47E]
0B7A62	[8BE]
0B7A64	[CEF]
0B7A66	[EB0]
0B7A68	[B70]
0B7A6A	[850]
0B7A6C	[540]
0B7A6E	[FFF]
0B7A70	[A9]
0B7A72	[111]
0B7A74	[FCB]
0B7A76	[EA8]
0B7A78	[B75]
0B7A7A	[843]
0B7A7C	[500]
0B7A7E	[800]
0B7A80	[B00]
0B7A82	[F40]
0B7A84	[F80]
0B7A86	[CFF]
0B7A88	[ADF]
0B7A8A	[89E]
0B7A8C	[65C]
0B7A8E	[FFF]
0B7A90	[A9]
0B7A92	[111]
0B7A94	[E87]
0B7A96	[A54]
0B7A98	[643]
0B7A9A	[430]
0B7A9C	[50]
0B7A9E	[380]
0B7AA0	[6C5]
0B7AA2	[9F8]
0B7AA4	[DFB]
0B7AA6	[FFC]
0B7AA8	[FE0]
0B7AAA	[FA0]
0B7AAC	[B60]
0B7AAE	[FFF]
0B7AB0	[A9]
0B7AB2	[111]
0B7AB4	[FCA]
0B7AB6	[C96]
0B7AB8	[A64]
0B7ABA	[742]
0B7ABC	[510]
0B7ABE	[720]
0B7AC0	[930]
0B7AC2	[C60]
0B7AC4	[F80]
0B7AC6	[EFC]
0B7AC8	[AC9]
0B7ACA	[695]
0B7ACC	[363]
0B7ACE	[FFF]
0B7AD0	[A9]
0B7AD2	[D00]
0B7AD4	[F95]
0B7AD6	[F73]
0B7AD8	[F00]
0B7ADA	[E00]
0B7ADC	[E00]
0B7ADE	[F00]
0B7AE0	[F40]
0B7AE2	[F50]
0B7AE4	[F73]
0B7AE6	[F95]
0B7AE8	[F73]
0B7AEA	[F00]
0B7AEC	[E00]
0B7AEE	[F73]
0B7AF0	[A9]
0B7AF2	[111]
0B7AF4	[FE9]
0B7AF6	[EC4]
0B7AF8	[D90]
0B7AFA	[960]
0B7AFC	[640]
0B7AFE	[A31]
0B7B00	[C62]
0B7B02	[D84]
0B7B04	[FB8]
0B7B06	[FFF]
0B7B08	[BBD]
0B7B0A	[99B]
0B7B0C	[779]
0B7B0E	[557]
0B7B10	[A9]
0B7B12	[111]
0B7B14	[FFF]
0B7B16	[CCD]
0B7B18	[99A]
0B7B1A	[778]
0B7B1C	[556]
0B7B1E	[830]
0B7B20	[C60]
0B7B22	[F90]
0B7B24	[FC6]
0B7B26	[DBA]
0B7B28	[B98]
0B7B2A	[976]
0B7B2C	[754]
0B7B2E	[532]
0B7B30	[A9]
0B7B32	[111]
0B7B34	[262]
0B7B36	[3A3]
0B7B38	[4E4]
0B7B3A	[800]
0B7B3C	[C33]
0B7B3E	[F56]
0B7B40	[FA9]
0B7B42	[C70]
0B7B44	[EA0]
0B7B46	[FD0]
0B7B48	[777]
0B7B4A	[AAA]
0B7B4C	[CCC]
0B7B4E	[FFF]
0B7B50	[A9]
0B7B52	[111]
0B7B54	[532]
0B7B56	[753]
0B7B58	[864]
0B7B5A	[A75]
0B7B5C	[C96]
0B7B5E	[DA7]
0B7B60	[EC8]
0B7B62	[FEA]
0B7B64	[FFF]
0B7B66	[FEA]
0B7B68	[EC8]
0B7B6A	[DA7]
0B7B6C	[C96]
0B7B6E	[A75]
0B7B70	[A9]
0B7B72	[111]
0B7B74	[A00]
0B7B76	[C40]
0B7B78	[E70]
0B7B7A	[F90]
0B7B7C	[FB0]
0B7B7E	[FD0]
0B7B80	[FF0]
0B7B82	[FFA]
0B7B84	[FFF]
0B7B86	[EEE]
0B7B88	[CCC]
0B7B8A	[AAA]
0B7B8C	[888]
0B7B8E	[777]
0B7B90	[A9]
0B7B92	[154]
0B7B94	[164]
0B7B96	[175]
0B7B98	[286]
0B7B9A	[397]
0B7B9C	[4A8]
0B7B9E	[5B9]
0B7BA0	[6DA]
0B7BA2	[153]
0B7BA4	[174]
0B7BA6	[396]
0B7BA8	[8B8]
0B7BAA	[BDA]
0B7BAC	[DEC]
0B7BAE	[FFE]
0B7BB0	[87]
0B7BB2	[FFF]
0B7BB4	[FFF]
0B7BB6	[FFF]
0B7BB8	[FFF]
0B7BBA	[FFF]
0B7BBC	[FFF]
0B7BBE	[FFF]
0B7BC0	[FFF]
0B7BC2	[FFF]
0B7BC4	[FFF]
0B7BC6	[FFF]
0B7BC8	[FFF]
0B7BCA	[FFF]
0B7BCC	[FFF]
0B7BCE	[FFF]
0B7BD0	[0]
0B7BF2	[111]
0B7BF4	[232]
0B7BF6	[454]
0B7BF8	[677]
0B7BFA	[9AA]
0B7BFC	[731]
0B7BFE	[C42]
0B7C00	[F85]
0B7C02	[FC8]
0B7C04	[A0]
0B7C06	[FB9]
0B7C08	[D75]
0B7C0A	[953]
0B7C0C	[540]
0B7C0E	[FFF]
0B7C10	[A9]
0B7C12	[111]
0B7C14	[343]
0B7C16	[565]
0B7C18	[898]
0B7C1A	[ABA]
0B7C1C	[146]
0B7C1E	[169]
0B7C20	[AC]
0B7C22	[EF]
0B7C24	[D00]
0B7C26	[FC9]
0B7C28	[C86]
0B7C2A	[964]
0B7C2C	[742]
0B7C2E	[FFF]
0B7C30	[A80]
0B7C32	[111]
0B7C34	[FB9]
0B7C36	[B75]
0B7C38	[842]
0B7C3A	[40]
0B7C3C	[363]
0B7C3E	[785]
0B7C40	[AB7]
0B7C42	[88B]
0B7C44	[BBD]
0B7C46	[FFB]
0B7C48	[DB6]
0B7C4A	[973]
0B7C4C	[FFC]
0B7C4E	[FFF]
0B7C50	[9AA]
0B7C52	[111]
0B7C54	[FB9]
0B7C56	[B75]
0B7C58	[742]
0B7C5A	[800]
0B7C5C	[D50]
0B7C5E	[F97]
0B7C60	[FCA]
0B7C62	[88B]
0B7C64	[BBD]
0B7C66	[7BC]
0B7C68	[68A]
0B7C6A	[367]
0B7C6C	[CDD]
0B7C6E	[FFF]
0B7C70	[A9]
0B7C72	[111]
0B7C74	[FB9]
0B7C76	[B75]
0B7C78	[742]
0B7C7A	[B60]
0B7C7C	[E90]
0B7C7E	[FC0]
0B7C80	[FF9]
0B7C82	[77A]
0B7C84	[ACC]
0B7C86	[789]
0B7C88	[567]
0B7C8A	[345]
0B7C8C	[99D]
0B7C8E	[FFF]
0B7C90	[86]
0B7C92	[111]
0B7C94	[FCA]
0B7C96	[D98]
0B7C98	[963]
0B7C9A	[750]
0B7C9C	[800]
0B7C9E	[B00]
0B7CA0	[F60]
0B7CA2	[F90]
0B7CA4	[FE0]
0B7CA6	[FB0]
0B7CA8	[E80]
0B7CAA	[B50]
0B7CAC	[730]
0B7CAE	[FFF]
0B7CB0	[A9]
0B7CB2	[111]
0B7CB4	[FCA]
0B7CB6	[C86]
0B7CB8	[853]
0B7CBA	[630]
0B7CBC	[58]
0B7CBE	[7C]
0B7CC0	[6BE]
0B7CC2	[9EF]
0B7CC4	[FEF]
0B7CC6	[ECF]
0B7CC8	[B9D]
0B7CCA	[97A]
0B7CCC	[657]
0B7CCE	[FFF]
0B7CD0	[A9]
0B7CD2	[111]
0B7CD4	[FA8]
0B7CD6	[B75]
0B7CD8	[740]
0B7CDA	[430]
0B7CDC	[70]
0B7CDE	[890]
0B7CE0	[DC3]
0B7CE2	[FF8]
0B7CE4	[EFC]
0B7CE6	[FEB]
0B7CE8	[DB8]
0B7CEA	[A96]
0B7CEC	[860]
0B7CEE	[FFF]
0B7CF0	[A9]
0B7CF2	[111]
0B7CF4	[FCA]
0B7CF6	[C86]
0B7CF8	[853]
0B7CFA	[530]
0B7CFC	[730]
0B7CFE	[A40]
0B7D00	[C80]
0B7D02	[FB0]
0B7D04	[FF0]
0B7D06	[ADF]
0B7D08	[59F]
0B7D0A	[5D]
0B7D0C	[8]
0B7D0E	[FFF]
0B7D10	[A9]
0B7D12	[111]
0B7D14	[EA8]
0B7D16	[B65]
0B7D18	[743]
0B7D1A	[530]
0B7D1C	[460]
0B7D1E	[880]
0B7D20	[BB4]
0B7D22	[EF7]
0B7D24	[FEE]
0B7D26	[9CE]
0B7D28	[79C]
0B7D2A	[468]
0B7D2C	[346]
0B7D2E	[FFF]
0B7D30	[A9]
0B7D52	[111]
0B7D54	[FCA]
0B7D56	[E85]
0B7D58	[953]
0B7D5A	[631]
0B7D5C	[600]
0B7D5E	[900]
0B7D60	[B51]
0B7D62	[D96]
0B7D64	[FE9]
0B7D66	[7DF]
0B7D68	[48C]
0B7D6A	[4A]
0B7D6C	[7]
0B7D6E	[FFF]
0B7D70	[A9]
0B7D72	[111]
0B7D74	[FB7]
0B7D76	[B73]
0B7D78	[740]
0B7D7A	[500]
0B7D7C	[900]
0B7D7E	[D60]
0B7D80	[F90]
0B7D82	[FC0]
0B7D84	[FFA]
0B7D86	[EA0]
0B7D88	[C40]
0B7D8A	[900]
0B7D8C	[700]
0B7D8E	[FFF]
0B7D90	[A9]
0B7D92	[111]
0B7D94	[FDA]
0B7D96	[EA6]
0B7D98	[C63]
0B7D9A	[942]
0B7D9C	[631]
0B7D9E	[DAA]
0B7DA0	[A77]
0B7DA2	[744]
0B7DA4	[531]
0B7DA6	[FFF]
0B7DA8	[FEA]
0B7DAA	[FC6]
0B7DAC	[D70]
0B7DAE	[B40]
0B7DB0	[A9]
0B7DB2	[111]
0B7DB4	[111]
0B7DB6	[345]
0B7DB8	[568]
0B7DBA	[99A]
0B7DBC	[FFF]
0B7DBE	[9BF]
0B7DC0	[67D]
0B7DC2	[359]
0B7DC4	[146]
0B7DC6	[FFD]
0B7DC8	[EC9]
0B7DCA	[B86]
0B7DCC	[853]
0B7DCE	[530]
0B7DD0	[A99]
